08/14/2024-20:18:15.662295  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49921 -> 72.5.43.29:80
08/14/2024-20:18:33.072174  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49925 -> 72.5.43.29:80
08/14/2024-20:13:14.043999  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49827 -> 72.5.43.29:80
08/14/2024-20:19:45.058790  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49946 -> 72.5.43.29:80
08/14/2024-20:13:55.403507  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49845 -> 72.5.43.29:80
08/14/2024-20:16:26.713759  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49891 -> 72.5.43.29:80
08/14/2024-20:19:50.401690  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49947 -> 72.5.43.29:80
08/14/2024-20:14:03.962854  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49847 -> 72.5.43.29:80
08/14/2024-20:20:09.769954  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49951 -> 72.5.43.29:80
08/14/2024-20:20:40.955912  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49957 -> 72.5.43.29:80
08/14/2024-20:13:30.131808  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49841 -> 72.5.43.29:80
08/14/2024-20:21:22.913092  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49965 -> 72.5.43.29:80
08/14/2024-20:14:17.197218  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49850 -> 72.5.43.29:80
08/14/2024-20:13:37.374964  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49842 -> 72.5.43.29:80
08/14/2024-20:14:46.773418  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49856 -> 72.5.43.29:80
08/14/2024-20:13:59.279207  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49846 -> 72.5.43.29:80
